categoria,nombre,sexo,UltimaFormacionAcademica,NodoHijo,Titulo_proyecto,año
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Trabajo dirigido de grado de pregrado,Diseño del Prototipo de una Planta de Compostaje para la Corporación Universitaria Adventista Colombia Corporación Universitaria Adventista,2023
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Trabajo dirigido de grado de pregrado,Diseño de una propuesta de mejora en sector logístico sobre el área de cargue y descargue en la empresa INSAGREIN S.A.S Corporación Universitaria Adventista,2023
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Trabajo dirigido de grado de pregrado,Estrategia para fomentar la gestión del cambio encaminada a potenciar el talento humano y la competitividad en PYMES de la ciudad de Medellín. Corporación Universitaria Adventista,2025
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Trabajo dirigido de grado de pregrado,Estrategia para la optimización del consumo de energía y agua en las IES de Medellín Corporación Universitaria Adventista,2025
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Trabajo dirigido de grado de pregrado,Estrategias para la Promoción del Desarrollo Sostenible: Un Análisis Sistemático de su Implementación en Organizaciones e Instituciones de Educación Superior Corporación Universitaria Adventista,2024
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Consultoría Científico Tecnológica e Informe Técnico - Otra,"Diseñar y definir un método de trabajo y la unidad estándar de producción de los folletos de escuela sabática, en la Litografía ICOLVEN",2023
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Consultoría Científico Tecnológica e Informe Técnico - Otra,Propuesta de mejora en el área de cargue y descargue en la empresa INSAGREIN S.A.S.,2023
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Consultoría Científico Tecnológica e Informe Técnico - Otra,Diagnostico para la implementación de la norma ISO 9001:2015 en el Departamento de Planeación e Internacionalización de la UNAC,2020
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Consultoría Científico Tecnológica e Informe Técnico - Otra,Propuesta de Mejora de la productividad en el proceso de la granola Éxito en Industrias Alimenticias Vitarrico,2023
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Consultoría Científico Tecnológica e Informe Técnico - Otra,Estandarización de procedimientos administrativos en la dirección de Sostenibilidad de la Corporación Universitaria Adventista Colombia,2023
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Consultoría Científico Tecnológica e Informe Técnico - Otra,Documentación del programa de aprovechamiento de residuos sólidos en la industria de alimentos Vitarrico.,2023
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Evento científico,II Congreso Internacional sobre Investigación y Praxis docente en los Objetivos para el Desarrollo Sostenible (CIIP-ODS),2023
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Evento científico,Encuentro Internacional de Educación en Ingeniería ACOFI 2023,2023
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Evento científico,11° Simposio Internacional de Productividad,2023
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Evento científico,9° Simposio Internacional de productividad,2021
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Evento científico,"EIEI ACOFI 2022 - ENCUENTRO INTERNACIONAL DE EDUCACIÓN EN INGENIERÍA. No. 1 Nuevas realidades para la Educación en Ingeniería: currículo, tecnología, medio ambiente y desarrollo",2022
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Evento científico,"10 simposio internacional de productividad, ¿Adaptación al cambio: Estrategias para la productividad y competitividad¿",2022
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Evento científico,"4º Congreso de Investigación de la División Interamericana Investigación, Desarrollo e Innovación: Repensando la misión de la Educación Adventista",2021
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Evento científico,"4º Congreso de Investigación de la División Interamericana Investigación, Desarrollo e Innovación: Repensando la misión de la Educación Adventista",2021
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Evento científico,"4º Congreso de Investigación de la División Interamericana Investigación, Desarrollo e Innovación: Repensando la misión de la Educación Adventista",2021
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Evento científico,Jornada académica Internacional virtual Rol del Ingeniero Industrial en la empresa del futuro,2020
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Evento científico,VI SEMANA DE INGENIERÍA,2019
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Evento científico,XII Simposio Internacional de Ingeniería Industrial: Actualidad y Nuevas Tendencias 2019,2019
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Evento científico,"III SEMANA DE LA CIENCIA, TECNOLOGÍA E INNOVACIÓN",2019
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Proceso de Apropiación Social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,"Semillero de Investigación OPTIMA,",2019
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Proceso de Apropiación Social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,"Semana de la Sostenibilidad ,",2023
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Proceso de Apropiación Social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,"Taller: Exploradores del ODS,",2023
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Proceso de Apropiación Social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,"Taller: Exploradores del ODS - ICOLVEN,",2023
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Proceso de Apropiación Social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,"Taller de conservación ambiental,",2024
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Proceso de Apropiación Social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,"Taller Exploradores de los ODS,",2024
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Proceso de Apropiación Social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,"Taller de pensamiento computacional,",2024
